dt,AverageTemperature,AverageTemperatureUncertainty,State,Country,Month,Year
1/1/1900,19.302,1.072,Australian Capital Territory,Australia,1,1900
2/1/1900,19.433,1.175,Australian Capital Territory,Australia,2,
3/1/1900,16.013,0.437,Australian Capital Territory,Australia,3,
4/1/1900,10.921,0.432,Australian Capital Territory,Australia,4,
5/1/1900,7.704,0.526,Australian Capital Territory,Australia,5,
6/1/1900,6.495,0.791,Australian Capital Territory,Australia,6,
7/1/1900,3.809,0.643,Australian Capital Territory,Australia,7,
8/1/1900,5.105,0.424,Australian Capital Territory,Australia,8,
9/1/1900,7.971,0.704,Australian Capital Territory,Australia,9,
10/1/1900,11.217,0.541,Australian Capital Territory,Australia,10,
11/1/1900,15.074,0.899,Australian Capital Territory,Australia,11,
12/1/1900,16.957,0.766,Australian Capital Territory,Australia,12,
1/1/1910,18.093,0.699,Australian Capital Territory,Australia,1,1910
2/1/1910,18.409,0.515,Australian Capital Territory,Australia,2,
3/1/1910,15.503,0.243,Australian Capital Territory,Australia,3,
4/1/1910,12.299,0.464,Australian Capital Territory,Australia,4,
5/1/1910,8.475,0.275,Australian Capital Territory,Australia,5,
6/1/1910,5.87,0.343,Australian Capital Territory,Australia,6,
7/1/1910,4.776,0.126,Australian Capital Territory,Australia,7,
8/1/1910,6.749,0.389,Australian Capital Territory,Australia,8,
9/1/1910,9.564,0.302,Australian Capital Territory,Australia,9,
10/1/1910,10.196,0.395,Australian Capital Territory,Australia,10,
11/1/1910,14.243,0.303,Australian Capital Territory,Australia,11,
12/1/1910,15.622,0.772,Australian Capital Territory,Australia,12,
1/1/1920,16.735,0.696,Australian Capital Territory,Australia,1,1920
2/1/1920,18.03,0.495,Australian Capital Territory,Australia,2,
3/1/1920,14.584,0.115,Australian Capital Territory,Australia,3,
4/1/1920,11.271,0.861,Australian Capital Territory,Australia,4,
5/1/1920,7.087,0.774,Australian Capital Territory,Australia,5,
6/1/1920,5.885,0.787,Australian Capital Territory,Australia,6,
7/1/1920,4.769,0.438,Australian Capital Territory,Australia,7,
8/1/1920,5.366,0.522,Australian Capital Territory,Australia,8,
9/1/1920,8.728,0.334,Australian Capital Territory,Australia,9,
10/1/1920,11.929,0.443,Australian Capital Territory,Australia,10,
11/1/1920,15.037,0.465,Australian Capital Territory,Australia,11,
12/1/1920,16.904,0.512,Australian Capital Territory,Australia,12,
1/1/1930,17.686,0.485,Australian Capital Territory,Australia,1,1930
2/1/1930,20.384,0.502,Australian Capital Territory,Australia,2,
3/1/1930,15.991,0.531,Australian Capital Territory,Australia,3,
4/1/1930,11.095,0.418,Australian Capital Territory,Australia,4,
5/1/1930,8.5,0.216,Australian Capital Territory,Australia,5,
6/1/1930,6.06,0.376,Australian Capital Territory,Australia,6,
7/1/1930,5.683,0.266,Australian Capital Territory,Australia,7,
8/1/1930,6.137,0.165,Australian Capital Territory,Australia,8,
9/1/1930,7.916,0.177,Australian Capital Territory,Australia,9,
10/1/1930,12.544,0.189,Australian Capital Territory,Australia,10,
11/1/1930,13.932,0.242,Australian Capital Territory,Australia,11,
12/1/1930,16.542,0.22,Australian Capital Territory,Australia,12,
1/1/1940,18.745,0.265,Australian Capital Territory,Australia,1,1940
2/1/1940,17.819,0.488,Australian Capital Territory,Australia,2,
3/1/1940,18.587,0.5,Australian Capital Territory,Australia,3,
4/1/1940,11.777,0.268,Australian Capital Territory,Australia,4,
