dt,AverageTemperature,City,Latitude,Longitude,month,year,Average 20 years,gap1,gap2
1/1/1900,19.999,Sydney,34.56S,151.78E,1,1900,,,
2/1/1900,20.734,Sydney,34.56S,151.78E,2,1900,,,
3/1/1900,19.96,Sydney,34.56S,151.78E,3,1900,,,
4/1/1900,17.228,Sydney,34.56S,151.78E,4,1900,,,
5/1/1900,15.741,Sydney,34.56S,151.78E,5,1900,,,
6/1/1900,15.623,Sydney,34.56S,151.78E,6,1900,,,
7/1/1900,13.018,Sydney,34.56S,151.78E,7,1900,,,
8/1/1900,13.652,Sydney,34.56S,151.78E,8,1900,,,
9/1/1900,14.408,Sydney,34.56S,151.78E,9,1900,,,
10/1/1900,16.446,Sydney,34.56S,151.78E,10,1900,,,
11/1/1900,18.099,Sydney,34.56S,151.78E,11,1900,,,
12/1/1900,18.906,Sydney,34.56S,151.78E,12,1900,,,
1/1/1901,18.696,Sydney,34.56S,151.78E,1,1901,,,
2/1/1901,20.122,Sydney,34.56S,151.78E,2,1901,,,
3/1/1901,19.507,Sydney,34.56S,151.78E,3,1901,,,
4/1/1901,17.931,Sydney,34.56S,151.78E,4,1901,,,
5/1/1901,16.188,Sydney,34.56S,151.78E,5,1901,,,
6/1/1901,13.037,Sydney,34.56S,151.78E,6,1901,,,
7/1/1901,12.656,Sydney,34.56S,151.78E,7,1901,,,
8/1/1901,13.738,Sydney,34.56S,151.78E,8,1901,,,
9/1/1901,16.894,Sydney,34.56S,151.78E,9,1901,,,
10/1/1901,16.315,Sydney,34.56S,151.78E,10,1901,,,
11/1/1901,18.541,Sydney,34.56S,151.78E,11,1901,,,
12/1/1901,18.75,Sydney,34.56S,151.78E,12,1901,,,
1/1/1902,19.366,Sydney,34.56S,151.78E,1,1902,,,
2/1/1902,19.753,Sydney,34.56S,151.78E,2,1902,,,
3/1/1902,18.784,Sydney,34.56S,151.78E,3,1902,,,
4/1/1902,17.413,Sydney,34.56S,151.78E,4,1902,,,
5/1/1902,15.799,Sydney,34.56S,151.78E,5,1902,,,
6/1/1902,14.668,Sydney,34.56S,151.78E,6,1902,,,
7/1/1902,13.864,Sydney,34.56S,151.78E,7,1902,,,
8/1/1902,13.429,Sydney,34.56S,151.78E,8,1902,,,
9/1/1902,15.116,Sydney,34.56S,151.78E,9,1902,,,
10/1/1902,16.69,Sydney,34.56S,151.78E,10,1902,,,
11/1/1902,19.376,Sydney,34.56S,151.78E,11,1902,,,
12/1/1902,19.462,Sydney,34.56S,151.78E,12,1902,,,
1/1/1903,19.383,Sydney,34.56S,151.78E,1,1903,,,
2/1/1903,20.307,Sydney,34.56S,151.78E,2,1903,,,
3/1/1903,21.034,Sydney,34.56S,151.78E,3,1903,,,
4/1/1903,18.154,Sydney,34.56S,151.78E,4,1903,,,
5/1/1903,15.72,Sydney,34.56S,151.78E,5,1903,,,
6/1/1903,14.058,Sydney,34.56S,151.78E,6,1903,,,
7/1/1903,13.487,Sydney,34.56S,151.78E,7,1903,,,
8/1/1903,13.694,Sydney,34.56S,151.78E,8,1903,,,
9/1/1903,15.52,Sydney,34.56S,151.78E,9,1903,,,
10/1/1903,15.536,Sydney,34.56S,151.78E,10,1903,,,
11/1/1903,17.15,Sydney,34.56S,151.78E,11,1903,,,
12/1/1903,18.381,Sydney,34.56S,151.78E,12,1903,,,
1/1/1904,19.198,Sydney,34.56S,151.78E,1,1904,,,
2/1/1904,18.882,Sydney,34.56S,151.78E,2,1904,,,
3/1/1904,17.791,Sydney,34.56S,151.78E,3,1904,,,
4/1/1904,17.969,Sydney,34.56S,151.78E,4,1904,,,
5/1/1904,16.393,Sydney,34.56S,151.78E,5,1904,,,
6/1/1904,13.059,Sydney,34.56S,151.78E,6,1904,,,
7/1/1904,13.723,Sydney,34.56S,151.78E,7,1904,,,
8/1/1904,13.939,Sydney,34.56S,151.78E,8,1904,,,
9/1/1904,13.98,Sydney,34.56S,151.78E,9,1904,,,
10/1/1904,16.135,Sydney,34.56S,151.78E,10,1904,,,
11/1/1904,18.524,Sydney,34.56S,151.78E,11,1904,,,
12/1/1904,19.342,Sydney,34.56S,151.78E,12,1904,,,
1/1/1905,20.384,Sydney,34.56S,151.78E,1,1905,,,
2/1/1905,19.615,Sydney,34.56S,151.78E,2,1905,,,
3/1/1905,19.761,Sydney,34.56S,151.78E,3,1905,,,
4/1/1905,18.417,Sydney,34.56S,151.78E,4,1905,,,
5/1/1905,16.62,Sydney,34.56S,151.78E,5,1905,,,
6/1/1905,14.707,Sydney,34.56S,151.78E,6,1905,,,
7/1/1905,13.104,Sydney,34.56S,151.78E,7,1905,,,
8/1/1905,13.614,Sydney,34.56S,151.78E,8,1905,,,
9/1/1905,13.117,Sydney,34.56S,151.78E,9,1905,,,
10/1/1905,13.868,Sydney,34.56S,151.78E,10,1905,,,
11/1/1905,17.479,Sydney,34.56S,151.78E,11,1905,,,
12/1/1905,18.156,Sydney,34.56S,151.78E,12,1905,,,
1/1/1906,19.751,Sydney,34.56S,151.78E,1,1906,,,
2/1/1906,20.289,Sydney,34.56S,151.78E,2,1906,,,
3/1/1906,18.537,Sydney,34.56S,151.78E,3,1906,,,
4/1/1906,19.023,Sydney,34.56S,151.78E,4,1906,,,
5/1/1906,16.737,Sydney,34.56S,151.78E,5,1906,,,
6/1/1906,15.217,Sydney,34.56S,151.78E,6,1906,,,
7/1/1906,13.926,Sydney,34.56S,151.78E,7,1906,,,
8/1/1906,13.681,Sydney,34.56S,151.78E,8,1906,,,
9/1/1906,14.804,Sydney,34.56S,151.78E,9,1906,,,
10/1/1906,16.622,Sydney,34.56S,151.78E,10,1906,,,
11/1/1906,16.255,Sydney,34.56S,151.78E,11,1906,,,
12/1/1906,18.247,Sydney,34.56S,151.78E,12,1906,,,
1/1/1907,19.389,Sydney,34.56S,151.78E,1,1907,,,
2/1/1907,19.141,Sydney,34.56S,151.78E,2,1907,,,
3/1/1907,18.272,Sydney,34.56S,151.78E,3,1907,,,
4/1/1907,17.652,Sydney,34.56S,151.78E,4,1907,,,
5/1/1907,16.316,Sydney,34.56S,151.78E,5,1907,,,
6/1/1907,14.571,Sydney,34.56S,151.78E,6,1907,,,
7/1/1907,13.294,Sydney,34.56S,151.78E,7,1907,,,
8/1/1907,14.278,Sydney,34.56S,151.78E,8,1907,,,
9/1/1907,16.128,Sydney,34.56S,151.78E,9,1907,,,
10/1/1907,16.829,Sydney,34.56S,151.78E,10,1907,,,
11/1/1907,17.348,Sydney,34.56S,151.78E,11,1907,,,
12/1/1907,19.197,Sydney,34.56S,151.78E,12,1907,,,
1/1/1908,20.69,Sydney,34.56S,151.78E,1,1908,,,
2/1/1908,18.952,Sydney,34.56S,151.78E,2,1908,,,
3/1/1908,18.999,Sydney,34.56S,151.78E,3,1908,,,
4/1/1908,17.596,Sydney,34.56S,151.78E,4,1908,,,
5/1/1908,16.615,Sydney,34.56S,151.78E,5,1908,,,
6/1/1908,12.886,Sydney,34.56S,151.78E,6,1908,,,
7/1/1908,12.958,Sydney,34.56S,151.78E,7,1908,,,
8/1/1908,13.622,Sydney,34.56S,151.78E,8,1908,,,
9/1/1908,14.622,Sydney,34.56S,151.78E,9,1908,,,
10/1/1908,15.687,Sydney,34.56S,151.78E,10,1908,,,
11/1/1908,17.958,Sydney,34.56S,151.78E,11,1908,,,
12/1/1908,19.506,Sydney,34.56S,151.78E,12,1908,,,
1/1/1909,19.358,Sydney,34.56S,151.78E,1,1909,,,
2/1/1909,18.11,Sydney,34.56S,151.78E,2,1909,,,
3/1/1909,19.344,Sydney,34.56S,151.78E,3,1909,,,
4/1/1909,16.51,Sydney,34.56S,151.78E,4,1909,,,
5/1/1909,15.72,Sydney,34.56S,151.78E,5,1909,,,
6/1/1909,14.994,Sydney,34.56S,151.78E,6,1909,,,
7/1/1909,12.889,Sydney,34.56S,151.78E,7,1909,,,
8/1/1909,13.624,Sydney,34.56S,151.78E,8,1909,,,
9/1/1909,14.481,Sydney,34.56S,151.78E,9,1909,,,
10/1/1909,16.56,Sydney,34.56S,151.78E,10,1909,,,
11/1/1909,17.605,Sydney,34.56S,151.78E,11,1909,,,
12/1/1909,18.407,Sydney,34.56S,151.78E,12,1909,,,
1/1/1910,19.259,Sydney,34.56S,151.78E,1,1910,,,
2/1/1910,19.497,Sydney,34.56S,151.78E,2,1910,,,
3/1/1910,18.432,Sydney,34.56S,151.78E,3,1910,,,
4/1/1910,17.987,Sydney,34.56S,151.78E,4,1910,,,
5/1/1910,16.777,Sydney,34.56S,151.78E,5,1910,,,
6/1/1910,15.29,Sydney,34.56S,151.78E,6,1910,,,
7/1/1910,13.858,Sydney,34.56S,151.78E,7,1910,,,
8/1/1910,15.176,Sydney,34.56S,151.78E,8,1910,,,
9/1/1910,16.363,Sydney,34.56S,151.78E,9,1910,,,
10/1/1910,15.508,Sydney,34.56S,151.78E,10,1910,,,
11/1/1910,16.848,Sydney,34.56S,151.78E,11,1910,,,
12/1/1910,18.156,Sydney,34.56S,151.78E,12,1910,,,
1/1/1911,18.226,Sydney,34.56S,151.78E,1,1911,,,
2/1/1911,19.246,Sydney,34.56S,151.78E,2,1911,,,
3/1/1911,18.849,Sydney,34.56S,151.78E,3,1911,,,
4/1/1911,16.864,Sydney,34.56S,151.78E,4,1911,,,
5/1/1911,16.387,Sydney,34.56S,151.78E,5,1911,,,
6/1/1911,13.591,Sydney,34.56S,151.78E,6,1911,,,
7/1/1911,13.867,Sydney,34.56S,151.78E,7,1911,,,
8/1/1911,14.504,Sydney,34.56S,151.78E,8,1911,,,
9/1/1911,16.137,Sydney,34.56S,151.78E,9,1911,,,
10/1/1911,16.267,Sydney,34.56S,151.78E,10,1911,,,
11/1/1911,18.791,Sydney,34.56S,151.78E,11,1911,,,
12/1/1911,19.527,Sydney,34.56S,151.78E,12,1911,,,
1/1/1912,19.31,Sydney,34.56S,151.78E,1,1912,,,
2/1/1912,20.26,Sydney,34.56S,151.78E,2,1912,,,
3/1/1912,19.573,Sydney,34.56S,151.78E,3,1912,,,
4/1/1912,17.57,Sydney,34.56S,151.78E,4,1912,,,
5/1/1912,15.703,Sydney,34.56S,151.78E,5,1912,,,
6/1/1912,14.746,Sydney,34.56S,151.78E,6,1912,,,
7/1/1912,13.982,Sydney,34.56S,151.78E,7,1912,,,
8/1/1912,14.553,Sydney,34.56S,151.78E,8,1912,,,
9/1/1912,15.613,Sydney,34.56S,151.78E,9,1912,,,
10/1/1912,16.67,Sydney,34.56S,151.78E,10,1912,,,
11/1/1912,18.178,Sydney,34.56S,151.78E,11,1912,,,
12/1/1912,18.996,Sydney,34.56S,151.78E,12,1912,,,
1/1/1913,20.107,Sydney,34.56S,151.78E,1,1913,,,
2/1/1913,21.085,Sydney,34.56S,151.78E,2,1913,,,
3/1/1913,19.37,Sydney,34.56S,151.78E,3,1913,,,
4/1/1913,18.295,Sydney,34.56S,151.78E,4,1913,,,
5/1/1913,15.759,Sydney,34.56S,151.78E,5,1913,,,
6/1/1913,14.416,Sydney,34.56S,151.78E,6,1913,,,
7/1/1913,14.449,Sydney,34.56S,151.78E,7,1913,,,
8/1/1913,14.255,Sydney,34.56S,151.78E,8,1913,,,
9/1/1913,15.311,Sydney,34.56S,151.78E,9,1913,,,
10/1/1913,17.575,Sydney,34.56S,151.78E,10,1913,,,
11/1/1913,17.088,Sydney,34.56S,151.78E,11,1913,,,
12/1/1913,19.004,Sydney,34.56S,151.78E,12,1913,,,
1/1/1914,20.449,Sydney,34.56S,151.78E,1,1914,,,
2/1/1914,20.387,Sydney,34.56S,151.78E,2,1914,,,
3/1/1914,20.348,Sydney,34.56S,151.78E,3,1914,,,
4/1/1914,19.342,Sydney,34.56S,151.78E,4,1914,,,
5/1/1914,16.795,Sydney,34.56S,151.78E,5,1914,,,
6/1/1914,15.272,Sydney,34.56S,151.78E,6,1914,,,
7/1/1914,14.036,Sydney,34.56S,151.78E,7,1914,,,
8/1/1914,15.386,Sydney,34.56S,151.78E,8,1914,,,
9/1/1914,15.837,Sydney,34.56S,151.78E,9,1914,,,
10/1/1914,17.172,Sydney,34.56S,151.78E,10,1914,,,
11/1/1914,19.575,Sydney,34.56S,151.78E,11,1914,,,
12/1/1914,19.897,Sydney,34.56S,151.78E,12,1914,,,
1/1/1915,19.523,Sydney,34.56S,151.78E,1,1915,,,
2/1/1915,21.278,Sydney,34.56S,151.78E,2,1915,,,
3/1/1915,20.336,Sydney,34.56S,151.78E,3,1915,,,
4/1/1915,18.158,Sydney,34.56S,151.78E,4,1915,,,
5/1/1915,15.769,Sydney,34.56S,151.78E,5,1915,,,
6/1/1915,15.016,Sydney,34.56S,151.78E,6,1915,,,
7/1/1915,14.488,Sydney,34.56S,151.78E,7,1915,,,
8/1/1915,14.547,Sydney,34.56S,151.78E,8,1915,,,
9/1/1915,16.195,Sydney,34.56S,151.78E,9,1915,,,
10/1/1915,16.437,Sydney,34.56S,151.78E,10,1915,,,
11/1/1915,18.022,Sydney,34.56S,151.78E,11,1915,,,
12/1/1915,17.91,Sydney,34.56S,151.78E,12,1915,,,
1/1/1916,20.495,Sydney,34.56S,151.78E,1,1916,,,
2/1/1916,20.212,Sydney,34.56S,151.78E,2,1916,,,
3/1/1916,19.029,Sydney,34.56S,151.78E,3,1916,,,
4/1/1916,17.747,Sydney,34.56S,151.78E,4,1916,,,
5/1/1916,16.312,Sydney,34.56S,151.78E,5,1916,,,
6/1/1916,15.099,Sydney,34.56S,151.78E,6,1916,,,
7/1/1916,14.232,Sydney,34.56S,151.78E,7,1916,,,
8/1/1916,14.267,Sydney,34.56S,151.78E,8,1916,,,
9/1/1916,16.113,Sydney,34.56S,151.78E,9,1916,,,
10/1/1916,15.786,Sydney,34.56S,151.78E,10,1916,,,
11/1/1916,15.891,Sydney,34.56S,151.78E,11,1916,,,
12/1/1916,18.41,Sydney,34.56S,151.78E,12,1916,,,
1/1/1917,20.309,Sydney,34.56S,151.78E,1,1917,,,
2/1/1917,18.418,Sydney,34.56S,151.78E,2,1917,,,
3/1/1917,18.952,Sydney,34.56S,151.78E,3,1917,,,
4/1/1917,16.262,Sydney,34.56S,151.78E,4,1917,,,
5/1/1917,14.783,Sydney,34.56S,151.78E,5,1917,,,
