date,AverageTemperature,City,month,year,Average 20 years,gap1,gap2,year_new
1/1/1900,20.017,Melbourne,1,1900,13.2623444,-0.002650075,0.246315045,1910-1930
1/1/1901,17.565,Melbourne,1,1901,13.25969432,-0.088724891,-0.020510917,1930-1950
1/1/1902,18.453,Melbourne,1,1902,13.17096943,0.397895197,0.154462882,1950-1970
1/1/1903,18.271,Melbourne,1,1903,13.56886463,0.160991266,0.344152838,1970-1990
1/1/1904,17.9,Melbourne,1,1904,13.7298559,,,
1/1/1905,20.117,Melbourne,1,1905,,,,
1/1/1906,19.89,Melbourne,1,1906,21.55209544,,,
1/1/1907,18.207,Melbourne,1,1907,21.79841048,,,
1/1/1908,23.013,Melbourne,1,1908,21.77789956,,,
1/1/1909,17.739,Melbourne,1,1909,21.93236245,,,
1/1/1910,19.381,Melbourne,1,1910,22.27651528,,,
1/1/1911,18.5,Melbourne,1,1911,,,,
1/1/1912,18.171,Melbourne,1,1912,,,,
1/1/1913,17.548,Melbourne,1,1913,,,,
1/1/1914,18.383,Melbourne,1,1914,,,,
1/1/1915,18.505,Melbourne,1,1915,,,,
1/1/1916,19.111,Melbourne,1,1916,,,,
1/1/1917,18.524,Melbourne,1,1917,,,,
1/1/1918,20.098,Melbourne,1,1918,,,,
1/1/1919,18.094,Melbourne,1,1919,,,,
1/1/1920,17.651,Melbourne,1,1920,,,,
1/1/1921,20.088,Melbourne,1,1921,,,,
1/1/1922,18.203,Melbourne,1,1922,,,,
1/1/1923,17.62,Melbourne,1,1923,,,,
1/1/1924,16.73,Melbourne,1,1924,,,,
1/1/1925,17.932,Melbourne,1,1925,,,,
1/1/1926,17.131,Melbourne,1,1926,,,,
1/1/1927,18.912,Melbourne,1,1927,,,,
1/1/1928,18.375,Melbourne,1,1928,,,,
1/1/1929,17.867,Melbourne,1,1929,,,,
1/1/1930,17.871,Melbourne,1,1930,,,,
1/1/1931,16.435,Melbourne,1,1931,,,,
1/1/1932,19.553,Melbourne,1,1932,,,,
1/1/1933,17.156,Melbourne,1,1933,,,,
1/1/1934,19.259,Melbourne,1,1934,,,,
1/1/1935,17.392,Melbourne,1,1935,,,,
1/1/1936,19.007,Melbourne,1,1936,,,,
1/1/1937,16.806,Melbourne,1,1937,,,,
1/1/1938,18.677,Melbourne,1,1938,,,,
1/1/1939,20.566,Melbourne,1,1939,,,,
1/1/1940,18.036,Melbourne,1,1940,,,,
1/1/1941,17.796,Melbourne,1,1941,,,,
1/1/1942,18.782,Melbourne,1,1942,,,,
1/1/1943,19.455,Melbourne,1,1943,,,,
1/1/1944,19.15,Melbourne,1,1944,,,,
1/1/1945,18.072,Melbourne,1,1945,,,,
1/1/1946,19.135,Melbourne,1,1946,,,,
1/1/1947,18.704,Melbourne,1,1947,,,,
1/1/1948,17.667,Melbourne,1,1948,,,,
1/1/1949,18.188,Melbourne,1,1949,,,,
1/1/1950,17.335,Melbourne,1,1950,,,,
