Country,date,AverageTemperature,AverageTemperatureUncertainty,avt£¨2000/1/1£©,gap
Afghanistan,1/1/1900,-3.428,0.936,2.404,5.832
Africa,1/1/1900,20.29,0.592,21.193,0.903
Albania,1/1/1900,5.137,1.252,0.397,-4.74
Algeria,1/1/1900,10.869,0.728,11.26,0.391
American Samoa,1/1/1900,26.839,1.833,27.401,0.562
Andorra,1/1/1900,4.114,0.517,3.275,-0.839
Angola,1/1/1900,21.701,0.788,22.232,0.531
Anguilla,1/1/1900,24.424,0.881,24.948,0.524
Antigua And Barbuda,1/1/1900,24.37,0.863,24.952,0.582
Argentina,1/1/1900,21.778,0.695,22.092,0.314
Armenia,1/1/1900,-5.805,0.862,-3.582,2.223
Aruba,1/1/1900,26.209,0.879,25.853,-0.356
Asia,1/1/1900,-10.322,0.48,-6.907,3.415
Australia,1/1/1900,27.514,0.462,27.071,-0.443
Austria,1/1/1900,-2.278,0.691,-4.598,-2.32
Azerbaijan,1/1/1900,-2.675,0.998,0.629,3.304
Bahamas,1/1/1900,21.171,0.455,21.424,0.253
Bahrain,1/1/1900,14.974,1.213,16.703,1.729
Baker Island,1/1/1900,24.934,0.645,25.659,0.725
Bangladesh,1/1/1900,18.821,0.682,18.228,-0.593
Barbados,1/1/1900,24.968,0.748,25.562,0.594
Belarus,1/1/1900,-6.775,0.596,-4.353,2.422
Belgium,1/1/1900,2.868,0.517,3.285,0.417
Belize,1/1/1900,21.242,1.853,22.275,1.033
Benin,1/1/1900,25.2,0.604,27.883,2.683
Bhutan,1/1/1900,4.046,0.999,3.988,-0.058
Bolivia,1/1/1900,22.576,0.972,23.068,0.492
"Bonaire, Saint Eustatius And Saba",1/1/1900,25.388,0.881,25.225,-0.163
Bosnia And Herzegovina,1/1/1900,2.111,0.894,-1.501,-3.612
Botswana,1/1/1900,25.335,0.648,24.086,-1.249
Brazil,1/1/1900,25.086,0.657,25.653,0.567
British Virgin Islands,1/1/1900,24.207,0.97,24.555,0.348
Bulgaria,1/1/1900,0.814,1.166,-3.066,-3.88
Burkina Faso,1/1/1900,23.377,0.996,27.224,3.847
